year,rank,company,ticker,market_cap
2025,1,NVIDIA,NVDA,4.533T
2025,2,Apple,AAPL,4.017T
2025,3,Alphabet,GOOGL,3.777T
2025,4,Microsoft,MSFT,3.594T
2025,5,Amazon,AMZN,2.468T
2025,6,Meta Platforms,META,1.664T
2025,7,Broadcom,AVGO,1.641T
2025,8,Tesla,TSLA,1.496T
2025,9,Berkshire Hathaway,BRK.B,1.084T
2025,10,Eli Lilly,LLY,961.86B
2025,11,Walmart,WMT,887.96B
2025,12,JPMorgan Chase,JPM,877.17B
2025,13,Visa,V,676.18B
2025,14,Oracle,ORCL,560.00B
2025,15,Mastercard,MA,512.65B
2025,16,Exxon Mobil,XOM,507.49B
2025,17,Johnson & Johnson,JNJ,498.60B
2025,18,Palantir Technologies,PLTR,423.66B
2025,19,AbbVie,ABBV,403.83B
2025,20,Bank of America,BAC,401.64B
2024,1,Apple,AAPL,3.766T
2024,2,NVIDIA,NVDA,3.289T
2024,3,Microsoft,MSFT,3.134T
2024,4,Alphabet,GOOGL,2.325T
2024,5,Amazon,AMZN,2.323T
2024,6,Meta Platforms,META,1.484T
2024,7,Tesla,TSLA,1.299T
2024,8,Broadcom,AVGO,1.087T
2024,9,Berkshire Hathaway,BRK.B,977.72B
2024,10,Walmart,WMT,725.78B
2024,11,Eli Lilly,LLY,692.90B
2024,12,JPMorgan Chase,JPM,670.71B
2024,13,Visa,V,622.60B
2024,14,Mastercard,MA,480.97B
2024,15,Exxon Mobil,XOM,468.25B
2024,16,Oracle,ORCL,466.09B
2024,17,UnitedHealth Group,UNH,462.86B
2024,18,Costco Wholesale,COST,406.73B
2024,19,Procter & Gamble,PG,393.14B
2024,20,Home Depot,HD,386.41B
2023,1,Apple,AAPL,2.994T
2023,2,Microsoft,MSFT,2.795T
2023,3,Alphabet,GOOGL,1.764T
2023,4,Amazon,AMZN,1.570T
2023,5,NVIDIA,NVDA,1.223T
2023,6,Meta Platforms,META,909.68B
2023,7,Tesla,TSLA,789.92B
2023,8,Berkshire Hathaway,BRK.B,772.53B
2023,9,Eli Lilly,LLY,553.37B
2023,10,Visa,V,525.65B
2023,11,Broadcom,AVGO,522.52B
2023,12,JPMorgan Chase,JPM,491.76B
2023,13,UnitedHealth Group,UNH,486.95B
2023,14,Walmart,WMT,424.45B
2023,15,Mastercard,MA,400.13B
2023,16,Exxon Mobil,XOM,399.62B
2023,17,Johnson & Johnson,JNJ,377.27B
2023,18,Procter & Gamble,PG,345.39B
2023,19,Home Depot,HD,344.91B
2023,20,Costco Wholesale,COST,292.90B
2022,1,Apple,AAPL,2.067T
2022,2,Microsoft,MSFT,1.788T
2022,3,Alphabet,GOOGL,1.148T
2022,4,Amazon,AMZN,856.8B
2022,5,Berkshire Hathaway,BRK.B,678.65B
2022,6,UnitedHealth Group,UNH,495.37B
2022,7,Johnson & Johnson,JNJ,461.76B
2022,8,Exxon Mobil,XOM,454.22B
2022,9,Visa,V,432.35B
2022,10,JPMorgan Chase,JPM,393.32B
2022,11,Tesla,TSLA,389.0B
2022,12,Walmart,WMT,382.36B
2022,13,NVIDIA,NVDA,359.50B
2022,14,Procter & Gamble,PG,359.2B
2022,15,Eli Lilly,LLY,347.61B
